Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Url
2020,Werder Bremen,Bundesliga,Stefanos Kapino,GRE,GK,25,1994,1,1,90,1,2,2,5,3,60,0,1,0,0,0,0,0,0,0,NA,https://fbref.com/en/players/62ba5881/Stefanos-Kapino
2020,Werder Bremen,Bundesliga,Jiří Pavlenka,CZE,GK,27,1992,33,33,2970,33,67,2.03,170,106,61.2,8,6,19,4,12.1,1,1,0,0,0,https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka
2020,Wolfsburg,Bundesliga,Koen Casteels,BEL,GK,27,1992,26,26,2340,26,38,1.46,104,69,67.3,11,6,9,5,19.2,4,4,0,0,0,https://fbref.com/en/players/db401046/Koen-Casteels
2020,Wolfsburg,Bundesliga,Pavao Pervan,AUT,GK,31,1987,8,8,720,8,8,1,36,29,80.6,2,4,2,3,37.5,1,1,0,0,0,https://fbref.com/en/players/c89e8aae/Pavao-Pervan
2021,Arminia,Bundesliga,Stefan Ortega,GER,GK,27,1992,34,34,3060,34,52,1.53,166,119,71.7,9,8,17,11,32.4,6,5,1,0,16.7,https://fbref.com/en/players/c1242d4e/Stefan-Ortega
2021,Augsburg,Bundesliga,Rafał Gikiewicz,POL,GK,32,1987,34,34,3060,34,55,1.62,172,124,71.5,10,6,18,7,20.6,10,6,2,2,25,https://fbref.com/en/players/17376543/Rafal-Gikiewicz
2021,Bayern Munich,Bundesliga,Manuel Neuer,GER,GK,34,1986,33,33,2970,33,42,1.27,126,83,67.5,24,5,4,9,27.3,3,1,1,1,50,https://fbref.com/en/players/8778c910/Manuel-Neuer
2021,Bayern Munich,Bundesliga,Alexander Nübel,GER,GK,23,1996,1,1,90,1,2,2,4,2,50,0,1,0,0,0,0,0,0,0,NA,https://fbref.com/en/players/afb0c500/Alexander-Nubel
2021,Dortmund,Bundesliga,Roman Bürki,SUI,GK,29,1990,19,18,1665,18.5,30,1.62,89,63,70.8,9,2,7,4,22.2,4,4,0,0,0,https://fbref.com/en/players/9d12e142/Roman-Burki
2021,Dortmund,Bundesliga,Marwin Hitz,SUI,GK,32,1987,16,16,1395,15.5,16,1.03,42,27,66.7,11,2,3,7,43.8,2,2,0,0,0,https://fbref.com/en/players/2e7ff968/Marwin-Hitz
2021,Eint Frankfurt,Bundesliga,Elias Bördner,GER,GK,18,2002,1,1,90,1,1,1,6,5,83.3,1,0,0,0,0,0,0,0,0,NA,https://fbref.com/en/players/8758ddf4/Elias-Bordner
2021,Eint Frankfurt,Bundesliga,Kevin Trapp,GER,GK,30,1990,33,33,2970,33,52,1.58,143,97,66.4,15,12,6,4,12.1,6,4,1,1,20,https://fbref.com/en/players/ce17b5eb/Kevin-Trapp
2021,Freiburg,Bundesliga,Mark Flekken,NED,GK,27,1993,3,3,270,3,6,2,16,12,75,1,1,1,0,0,3,2,0,1,0,https://fbref.com/en/players/a92ab7be/Mark-Flekken
2021,Freiburg,Bundesliga,Florian Müller,GER,GK,22,1997,31,31,2790,31,46,1.48,152,110,71.1,11,8,12,6,19.4,3,2,1,0,33.3,https://fbref.com/en/players/cbac6ec9/Florian-Muller
2021,Hertha BSC,Bundesliga,Rune Jarstein,NOR,GK,35,1984,8,8,720,8,13,1.62,31,20,61.3,2,1,5,1,12.5,2,1,1,0,50,https://fbref.com/en/players/27d2618c/Rune-Jarstein
2021,Hertha BSC,Bundesliga,Alexander Schwolow,GER,GK,28,1992,26,26,2340,26,39,1.5,103,70,68,6,10,10,8,30.8,6,6,0,0,0,https://fbref.com/en/players/0d55d942/Alexander-Schwolow
2021,Hoffenheim,Bundesliga,Oliver Baumann,GER,GK,30,1990,31,31,2790,31,51,1.65,126,81,64.3,10,8,13,6,19.4,9,6,2,1,25,https://fbref.com/en/players/47064058/Oliver-Baumann
2021,Hoffenheim,Bundesliga,Philipp Pentke,GER,GK,35,1985,3,3,270,3,3,1,13,10,76.9,1,2,0,0,0,0,0,0,0,NA,https://fbref.com/en/players/c41f7379/Philipp-Pentke
2021,Köln,Bundesliga,Timo Horn,GER,GK,27,1993,34,34,3009,33.4,59,1.76,150,98,65.3,8,9,17,5,14.7,8,7,1,0,12.5,https://fbref.com/en/players/3cd9e95a/Timo-Horn
