Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs,Att_Vs,Tkl_percent_Vs,Past_Vs,Press_Pressures,Succ_Pressures,_percent_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Url
2018,Dortmund,Bundesliga,Marcel Schmelzer,GER,DF,29,1988,16.6,29,25,15,13,1,11,32,34.4,21,245,91,37.1,109,106,30,41,4,0,37,26,55,74,1,https://fbref.com/en/players/89565ac5/Marcel-Schmelzer
2018,Dortmund,Bundesliga,André Schürrle,GER,FW,26,1990,13.7,18,11,8,3,7,3,23,13,20,201,63,31.3,28,74,99,13,1,0,12,9,27,8,0,https://fbref.com/en/players/ecbb3fdf/Andre-Schurrle
2018,Dortmund,Bundesliga,Neven Subotić,SRB,DF,28,1988,3,9,7,5,3,1,5,6,83.3,1,32,10,31.3,19,11,2,5,2,0,3,3,12,31,1,https://fbref.com/en/players/821233cc/Neven-Subotic
2018,Dortmund,Bundesliga,Jeremy Toljan,GER,DF,22,1994,13.5,26,16,16,9,1,12,30,40,18,190,67,35.3,112,59,19,34,3,0,31,9,35,49,0,https://fbref.com/en/players/a96e5dc0/Jeremy-Toljan
2018,Dortmund,Bundesliga,Ömer Toprak,TUR,DF,28,1989,22.4,37,27,27,8,2,13,21,61.9,8,172,74,43,117,49,6,33,16,0,17,16,53,125,1,https://fbref.com/en/players/c5fd13e9/Omer-Toprak
2018,Dortmund,Bundesliga,Roman Weidenfeller,GER,GK,36,1980,1,0,0,0,0,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/16b8fabd/Roman-Weidenfeller
2018,Dortmund,Bundesliga,Julian Weigl,GER,MF,21,1995,21.6,56,36,19,35,2,18,49,36.7,31,393,110,28,129,232,32,31,4,0,27,24,80,60,0,https://fbref.com/en/players/346d51d9/Julian-Weigl
2018,Dortmund,Bundesliga,Andriy Yarmolenko,UKR,"FW,MF",27,1989,11.5,13,6,4,6,3,3,14,21.4,11,169,46,27.2,30,77,62,5,0,0,5,7,20,4,0,https://fbref.com/en/players/849c826a/Andriy-Yarmolenko
2018,Dortmund,Bundesliga,Dan-Axel Zagadou,FRA,DF,18,1999,7.3,9,5,5,3,1,5,7,71.4,2,101,36,35.6,42,40,19,14,0,0,14,9,18,18,0,https://fbref.com/en/players/a4effc55/Dan-Axel-Zagadou
2018,Eint Frankfurt,Bundesliga,David Abraham,ARG,DF,31,1986,25.6,43,28,31,11,1,24,41,58.5,17,221,74,33.5,148,66,7,39,16,0,23,23,66,130,1,https://fbref.com/en/players/565bf0da/David-Abraham
