Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Press_Pass,Sw_Pass,Crs_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Ground_Height,Low_Height,High_Height,Left_Body,Right_Body,Head_Body,TI_Body,Other_Body,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Url
2018,Bayern Munich,Bundesliga,Meritan Shabani,ALB,FW,18,1999,0.6,15,15,0,0,0,5,1,0,0,0,0,0,13,2,0,4,11,0,0,0,11,0,0,1,0,https://fbref.com/en/players/012c38ec/Meritan-Shabani
2018,Bayern Munich,Bundesliga,Tom Starke,GER,GK,36,1981,2,55,45,10,1,0,1,0,0,0,0,0,0,28,6,21,7,35,0,0,9,40,0,2,0,0,https://fbref.com/en/players/5b52d1f7/Tom-Starke
2018,Bayern Munich,Bundesliga,Niklas Süle,GER,DF,21,1995,21.4,1598,1564,34,29,2,180,53,6,0,0,0,0,1310,125,163,259,1238,63,5,9,1482,1,14,9,5,https://fbref.com/en/players/e33c06cf/Niklas-Sule
2018,Bayern Munich,Bundesliga,Corentin Tolisso,FRA,MF,22,1994,17.5,1260,1241,19,10,3,209,43,10,1,0,0,0,967,163,130,96,1108,35,5,4,1132,2,15,19,22,https://fbref.com/en/players/652d4c37/Corentin-Tolisso
2018,Bayern Munich,Bundesliga,Sven Ulreich,GER,GK,28,1988,29,926,756,170,33,0,113,10,0,0,0,0,0,518,54,354,78,698,0,1,140,705,3,22,0,4,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
2018,Bayern Munich,Bundesliga,Arturo Vidal,CHI,MF,30,1987,16.2,1186,1151,35,22,2,226,41,8,2,1,0,1,819,199,168,188,905,57,11,7,1046,6,15,10,13,https://fbref.com/en/players/67cdbc0e/Arturo-Vidal
2018,Bayern Munich,Bundesliga,Sandro Wagner,GER,FW,29,1987,8.1,218,204,14,0,1,72,6,4,0,0,0,0,127,53,38,32,144,16,0,10,159,2,5,5,7,https://fbref.com/en/players/61b0b44d/Sandro-Wagner
2018,Dortmund,Bundesliga,Manuel Akanji,SUI,DF,22,1995,10,604,570,34,12,0,73,24,2,0,0,0,0,440,75,89,142,394,34,22,3,521,0,8,8,6,https://fbref.com/en/players/89ac64a6/Manuel-Akanji
2018,Dortmund,Bundesliga,Pierre-Emerick Aubameyang,GAB,FW,28,1989,15.7,339,304,35,0,0,63,2,19,0,0,0,0,215,72,52,33,259,31,1,7,240,2,5,7,13,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
2018,Dortmund,Bundesliga,Marc Bartra,ESP,DF,26,1991,9,697,636,61,16,0,80,19,6,0,0,0,0,468,87,142,37,542,58,45,3,552,2,14,7,7,https://fbref.com/en/players/b742cc0d/Marc-Bartra
2018,Dortmund,Bundesliga,Michy Batshuayi,BEL,FW,23,1993,9.3,183,162,21,0,0,44,4,1,0,0,0,0,112,45,26,40,118,11,1,5,128,3,4,3,6,https://fbref.com/en/players/2973d8ff/Michy-Batshuayi
2018,Dortmund,Bundesliga,Jacob Bruun Larsen,DEN,DF,18,1998,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen
2018,Dortmund,Bundesliga,Roman Bürki,SUI,GK,26,1990,33,1246,938,308,89,0,89,36,0,0,0,0,0,663,65,518,205,843,1,0,169,888,10,33,5,3,https://fbref.com/en/players/9d12e142/Roman-Burki
2018,Dortmund,Bundesliga,Gonzalo Castro,GER,MF,30,1987,13.4,841,780,61,25,3,84,10,13,28,1,1,1,623,80,138,72,733,22,7,4,691,3,8,12,15,https://fbref.com/en/players/68829001/Gonzalo-Castro
2018,Dortmund,Bundesliga,Mahmoud Dahoud,GER,MF,21,1996,12.7,678,669,9,3,1,128,17,4,5,1,1,0,514,86,78,84,561,31,0,1,568,2,10,14,13,https://fbref.com/en/players/db4ed67b/Mahmoud-Dahoud
2018,Dortmund,Bundesliga,Sergio Gómez,ESP,MF,16,2000,0.1,6,5,1,0,0,0,2,0,1,1,0,0,3,1,2,5,1,0,0,0,6,0,0,0,0,https://fbref.com/en/players/01e5f06e/Sergio-Gomez
2018,Dortmund,Bundesliga,Mario Götze,GER,MF,25,1992,17.8,1027,974,53,19,5,149,15,26,22,4,8,1,711,158,158,66,908,35,9,2,813,6,9,27,31,https://fbref.com/en/players/9efa1d25/Mario-Gotze
2018,Dortmund,Bundesliga,Raphaël Guerreiro,POR,"DF,MF",23,1993,6.1,402,344,58,5,3,84,4,12,14,6,4,1,264,78,60,321,29,11,39,1,332,1,4,12,5,https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro
2018,Dortmund,Bundesliga,Alexander Isak,SWE,"FW,MF",17,1999,1.3,28,26,2,0,0,7,0,0,0,0,0,0,16,9,3,2,17,5,1,1,21,0,0,0,2,https://fbref.com/en/players/8e92be30/Alexander-Isak
2018,Dortmund,Bundesliga,Shinji Kagawa,JPN,MF,28,1989,13,762,710,52,23,4,136,18,15,22,6,4,2,555,94,113,227,496,25,7,6,645,2,8,12,8,https://fbref.com/en/players/5afafbfe/Shinji-Kagawa
2018,Dortmund,Bundesliga,Sokratis Papastathopoulos,GRE,DF,29,1988,26.4,1879,1826,53,43,1,174,50,2,0,0,0,0,1469,135,275,80,1665,92,10,3,1650,4,41,8,3,https://fbref.com/en/players/b682dcf6/Sokratis-Papastathopoulos
2018,Dortmund,Bundesliga,Felix Passlack,GER,DF,19,1998,0.1,9,6,3,0,0,2,0,0,0,0,0,0,5,4,0,0,5,1,3,0,8,0,0,0,0,https://fbref.com/en/players/5c899683/Felix-Passlack
2018,Dortmund,Bundesliga,Maximilian Philipp,GER,"FW,MF",23,1994,13.4,307,296,11,1,0,53,8,15,1,0,1,0,214,52,41,66,206,18,3,4,226,1,6,8,14,https://fbref.com/en/players/061e8e23/Maximilian-Philipp
2018,Dortmund,Bundesliga,Łukasz Piszczek,POL,DF,32,1985,23.8,1572,1317,255,17,0,183,27,45,0,0,0,0,930,282,360,144,1041,100,238,7,1262,3,32,21,43,https://fbref.com/en/players/fe2db476/Lukasz-Piszczek
2018,Dortmund,Bundesliga,Christian Pulisic,USA,FW,18,1998,25.6,896,862,34,1,1,201,17,63,2,0,0,0,614,151,131,167,649,35,30,4,677,6,15,11,57,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic
2018,Dortmund,Bundesliga,Marco Reus,GER,"MF,FW",28,1989,10.3,386,346,40,12,5,76,15,11,23,5,13,2,240,81,65,86,277,14,1,6,292,4,4,8,11,https://fbref.com/en/players/36a3ff67/Marco-Reus
2018,Dortmund,Bundesliga,Nuri Şahin,TUR,MF,28,1988,13.6,1108,1054,54,46,4,130,16,9,5,1,0,0,782,135,191,861,177,42,3,5,920,3,21,11,12,https://fbref.com/en/players/f4081572/Nuri-Sahin
2018,Dortmund,Bundesliga,Jadon Sancho,ENG,FW,17,2000,7.7,372,364,8,3,3,74,6,15,4,2,1,0,280,56,36,40,321,8,1,2,308,0,4,7,13,https://fbref.com/en/players/dbf053da/Jadon-Sancho
2018,Dortmund,Bundesliga,Marcel Schmelzer,GER,DF,29,1988,16.6,1291,1085,206,33,0,196,14,21,0,0,0,0,823,219,249,903,128,61,173,5,1069,7,16,12,32,https://fbref.com/en/players/89565ac5/Marcel-Schmelzer
2018,Dortmund,Bundesliga,André Schürrle,GER,FW,26,1990,13.7,549,513,36,3,3,114,17,33,23,8,10,2,347,102,100,87,411,29,4,3,395,1,9,14,22,https://fbref.com/en/players/ecbb3fdf/Andre-Schurrle
2018,Dortmund,Bundesliga,Neven Subotić,SRB,DF,28,1988,3,251,242,9,9,0,32,7,0,0,0,0,0,200,17,34,46,190,9,0,0,225,0,3,3,0,https://fbref.com/en/players/821233cc/Neven-Subotic
2018,Dortmund,Bundesliga,Jeremy Toljan,GER,DF,22,1994,13.5,826,704,122,16,0,119,12,28,0,0,0,0,553,130,143,126,563,22,106,3,673,4,25,11,24,https://fbref.com/en/players/a96e5dc0/Jeremy-Toljan
2018,Dortmund,Bundesliga,Ömer Toprak,TUR,DF,28,1989,22.4,1822,1771,51,49,0,144,53,0,0,0,0,0,1472,152,198,454,1255,74,2,7,1643,4,26,10,11,https://fbref.com/en/players/c5fd13e9/Omer-Toprak
2018,Dortmund,Bundesliga,Roman Weidenfeller,GER,GK,36,1980,1,42,28,14,6,0,5,0,0,0,0,0,0,15,2,25,31,8,0,0,1,20,0,1,0,0,https://fbref.com/en/players/16b8fabd/Roman-Weidenfeller
2018,Dortmund,Bundesliga,Julian Weigl,GER,MF,21,1995,21.6,1245,1197,48,46,0,157,38,4,0,0,0,0,922,142,181,79,1081,57,2,4,1071,5,19,14,16,https://fbref.com/en/players/346d51d9/Julian-Weigl
2018,Dortmund,Bundesliga,Andriy Yarmolenko,UKR,"FW,MF",27,1989,11.5,449,427,22,6,0,121,17,40,11,4,1,1,301,62,86,314,107,14,5,2,331,1,7,6,11,https://fbref.com/en/players/849c826a/Andriy-Yarmolenko
2018,Dortmund,Bundesliga,Dan-Axel Zagadou,FRA,DF,18,1999,7.3,503,441,62,10,0,47,6,10,0,0,0,0,338,79,86,310,75,50,52,2,409,0,15,6,10,https://fbref.com/en/players/a4effc55/Dan-Axel-Zagadou
2018,Eint Frankfurt,Bundesliga,David Abraham,ARG,DF,31,1986,25.6,1313,1274,39,32,1,147,68,6,0,0,0,0,823,165,325,208,923,135,7,2,1081,4,29,10,10,https://fbref.com/en/players/565bf0da/David-Abraham
2018,Eint Frankfurt,Bundesliga,Aymen Barkok,MAR,"MF,FW",19,1998,3.5,119,119,0,0,1,28,4,3,0,0,0,0,73,24,22,27,78,8,0,2,89,1,5,4,3,https://fbref.com/en/players/a2a85828/Aymen-Barkok
2018,Eint Frankfurt,Bundesliga,Danny Blum,GER,"FW,DF",26,1991,0.3,12,12,0,0,0,4,0,0,0,0,0,0,5,3,4,8,3,1,0,0,8,0,0,0,2,https://fbref.com/en/players/eb61713c/Danny-Blum
2018,Eint Frankfurt,Bundesliga,Kevin-Prince Boateng,GHA,"MF,FW",30,1987,26.2,1107,1050,57,39,3,221,34,13,2,0,2,0,674,212,221,150,841,62,6,14,841,8,25,14,41,https://fbref.com/en/players/f4ec4fd0/Kevin-Prince-Boateng
2018,Eint Frankfurt,Bundesliga,Marijan Ćavar,BIH,"FW,MF",19,1998,0.4,8,8,0,0,0,2,0,0,0,0,0,0,7,1,0,0,8,0,0,0,7,0,0,0,0,https://fbref.com/en/players/33ec696b/Marijan-Cavar
2018,Eint Frankfurt,Bundesliga,Timothy Chandler,USA,"DF,MF",27,1990,21,927,729,198,6,0,123,21,73,1,0,1,0,373,184,370,157,501,56,191,2,587,6,30,21,33,https://fbref.com/en/players/b3b7f5a6/Timothy-Chandler
2018,Eint Frankfurt,Bundesliga,Danny da Costa,GER,DF,24,1993,13.4,704,568,136,7,0,113,14,32,0,0,0,0,360,147,197,69,450,39,129,2,507,3,21,15,24,https://fbref.com/en/players/5ddb8f9f/Danny-da-Costa
2018,Eint Frankfurt,Bundesliga,Marco Fabián,MEX,"FW,MF",28,1989,4.7,188,171,17,5,4,46,14,2,8,3,5,0,129,26,33,17,164,1,1,1,157,0,4,1,6,https://fbref.com/en/players/e665a2db/Marco-Fabian
2018,Eint Frankfurt,Bundesliga,Simon Falette,GUI,DF,25,1992,24.6,1226,1173,53,47,1,151,53,9,1,1,0,0,760,125,341,978,113,94,5,1,923,6,48,11,21,https://fbref.com/en/players/b82880c6/Simon-Falette
2018,Eint Frankfurt,Bundesliga,Gelson Fernandes,SUI,MF,30,1986,11.5,347,344,3,2,0,46,4,1,0,0,0,0,236,67,44,38,272,30,1,1,281,0,4,8,8,https://fbref.com/en/players/8e58987d/Gelson-Fernandes
2018,Eint Frankfurt,Bundesliga,Mijat Gaćinović,SRB,MF,22,1995,20.2,652,622,30,17,2,90,15,20,11,1,4,0,390,127,135,136,447,49,2,8,447,4,15,16,25,https://fbref.com/en/players/16daec92/Mijat-Gacinovic
2018,Eint Frankfurt,Bundesliga,Jonathan de Guzmán,NED,MF,29,1987,12.1,656,575,81,35,0,110,46,16,45,12,13,5,409,70,177,65,554,23,1,2,493,4,20,15,9,https://fbref.com/en/players/1bcca8b8/Jonathan-de-Guzman
2018,Eint Frankfurt,Bundesliga,Sébastien Haller,CIV,FW,23,1994,26.1,705,658,47,2,6,213,12,16,0,0,0,0,369,178,158,102,423,84,2,17,459,3,12,23,27,https://fbref.com/en/players/ba115a40/Sebastien-Haller
2018,Eint Frankfurt,Bundesliga,Makoto Hasebe,JPN,"DF,MF",33,1984,23.2,1155,1099,56,53,0,123,37,1,1,0,0,0,783,160,212,197,866,70,2,4,1009,7,21,7,9,https://fbref.com/en/players/9ab16552/Makoto-Hasebe
2018,Eint Frankfurt,Bundesliga,Lukáš Hrádecký,FIN,GK,27,1989,34,1276,926,350,134,0,108,60,0,0,0,0,0,495,91,690,176,877,3,0,164,833,12,40,1,2,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky
2018,Eint Frankfurt,Bundesliga,Branimir Hrgota,SWE,"FW,MF",24,1993,2.2,51,51,0,0,0,15,1,0,0,0,0,0,38,9,4,33,13,2,0,1,32,0,3,3,10,https://fbref.com/en/players/710fbdd1/Branimir-Hrgota
2018,Eint Frankfurt,Bundesliga,Luka Jović,SRB,FW,19,1997,10.4,241,227,14,0,1,57,6,7,0,0,0,0,101,87,53,50,153,23,0,5,178,1,4,3,9,https://fbref.com/en/players/4d8cd038/Luka-Jovic
2018,Eint Frankfurt,Bundesliga,Daichi Kamada,JPN,"FW,MF",20,1996,1.6,33,32,1,0,0,6,1,0,0,0,0,0,25,3,5,9,20,4,0,0,27,0,2,0,2,https://fbref.com/en/players/15b287da/Daichi-Kamada
2018,Eint Frankfurt,Bundesliga,Omar Mascarell,ESP,MF,24,1993,8.6,482,465,17,15,2,66,23,2,0,0,0,0,282,105,95,89,356,21,2,1,404,1,10,8,6,https://fbref.com/en/players/11fd2b75/Omar-Mascarell
2018,Eint Frankfurt,Bundesliga,Slobodan Medojević,SRB,MF,26,1990,0.3,15,15,0,0,0,0,0,1,0,0,0,0,9,1,5,0,11,4,0,0,10,0,1,0,0,https://fbref.com/en/players/2e64bb49/Slobodan-Medojevic
