Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,Url
2018,Augsburg,Bundesliga,Fabian Giefer,GER,GK,27,1990,0,NA,NA,NA,NA,0,NA,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/players/fbefefdb/Fabian-Giefer
2018,Augsburg,Bundesliga,Jeffrey Gouweleeuw,NED,DF,26,1991,27,2385,88,77.9,26.5,27,NA,26,0,NA,0,1.26,34,36,-2,-0.08,0.06,35.9,31.7,4.2,0.16,0.46,https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw
2018,Augsburg,Bundesliga,Michael Gregoritsch,AUT,"MF,FW",23,1994,32,2527,79,82.6,28.1,30,NA,19,2,NA,1,1.19,37,39,-2,-0.07,0.1,37.8,34.3,3.5,0.12,0.39,https://fbref.com/en/players/8e235926/Michael-Gregoritsch
2018,Augsburg,Bundesliga,Marcel Heller,GER,"FW,MF",31,1986,24,1299,54,42.5,14.4,14,NA,3,10,NA,7,1.5,22,21,1,0.07,0.27,22.4,18.3,4.1,0.28,0.39,https://fbref.com/en/players/11dbba47/Marcel-Heller
2018,Augsburg,Bundesliga,Martin Hinteregger,AUT,DF,24,1992,30,2655,89,86.8,29.5,29,NA,29,1,NA,0,1.23,38,39,-1,-0.03,0.41,38,38.6,-0.5,-0.02,-0.56,https://fbref.com/en/players/080440a4/Martin-Hinteregger
2018,Augsburg,Bundesliga,Marwin Hitz,SUI,GK,29,1987,32,2880,90,94.1,32,32,NA,32,0,NA,1,1.25,41,42,-1,-0.03,0.97,43.7,40.5,3.3,0.1,0.78,https://fbref.com/en/players/2e7ff968/Marwin-Hitz
2018,Augsburg,Bundesliga,Koo Ja-cheol,KOR,"MF,FW",28,1989,28,2046,73,66.9,22.7,23,NA,14,5,NA,1,1.29,23,28,-5,-0.22,-0.4,27.5,30.1,-2.5,-0.11,-0.51,https://fbref.com/en/players/3c05e082/Koo-Ja-cheol
2018,Augsburg,Bundesliga,Kilian Jakob,GER,FW,19,1998,1,50,50,1.6,0.6,1,NA,0,0,NA,3,0,0,2,-2,-3.6,-3.57,0.2,1.4,-1.2,-2.12,-2.21,https://fbref.com/en/players/99d6044d/Kilian-Jakob
2018,Augsburg,Bundesliga,Christoph Janker,GER,DF,32,1985,5,78,16,2.5,0.9,0,NA,0,5,NA,9,1.6,2,2,0,0,0.09,1.4,1.4,0,0.03,-0.03,https://fbref.com/en/players/cf01fe3a/Christoph-Janker
2018,Augsburg,Bundesliga,Gojko Kačar,SRB,DF,30,1987,6,228,38,7.5,2.5,3,NA,2,3,NA,15,1.5,3,3,0,0,0.1,3.2,2.8,0.4,0.14,0.09,https://fbref.com/en/players/cc58c4ea/Gojko-Kacar
