Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,Ast,xA,A_minus_xA,KP,Final_Third,PPA,CrsPA,Prog,Url
2018,Augsburg,Bundesliga,Kostas Stafylidis,GRE,DF,23,1993,0.4,4,9,44.4,69,32,1,2,50,3,5,60,0,2,0,0,0,0,0,0,0,0,1,https://fbref.com/en/players/861e0116/Kostas-Stafylidis
2018,Augsburg,Bundesliga,Erik Thommy,GER,FW,22,1994,1.9,51,72,70.8,862,268,26,26,100,17,23,73.9,6,20,30,0,0.6,-0.6,4,2,4,4,2,https://fbref.com/en/players/df8e7b62/Erik-Thommy
2018,Bayern Munich,Bundesliga,David Alaba,AUT,DF,25,1992,17.2,1120,1320,84.8,18467,5870,574,631,91,459,522,87.9,73,124,58.9,2,2.2,-0.2,20,73,25,13,75,https://fbref.com/en/players/05439de2/David-Alaba
2018,Bayern Munich,Bundesliga,Thiago Alcántara,ESP,"MF,FW",26,1991,13.9,1190,1309,90.9,23716,5730,497,532,93.4,479,514,93.2,200,241,83,2,2.4,-0.4,29,145,18,0,117,https://fbref.com/en/players/77e84962/Thiago-Alcantara
2018,Bayern Munich,Bundesliga,Juan Bernat,ESP,"DF,FW",24,1993,9.9,490,541,90.6,7656,1816,283,301,94,169,186,90.9,31,38,81.6,2,1.3,0.7,10,24,9,3,30,https://fbref.com/en/players/433dc9a2/Juan-Bernat
2018,Bayern Munich,Bundesliga,Jérôme Boateng,GER,DF,28,1988,18.2,1231,1428,86.2,29911,10785,263,278,94.6,648,690,93.9,315,448,70.3,2,1.2,0.8,12,153,22,4,119,https://fbref.com/en/players/2db2fd7b/Jerome-Boateng
2018,Bayern Munich,Bundesliga,Kingsley Coman,FRA,"FW,MF",21,1996,12.8,484,607,79.7,8380,1544,230,269,85.5,202,249,81.1,46,75,61.3,3,2.9,0.1,20,19,25,8,33,https://fbref.com/en/players/042e8a49/Kingsley-Coman
2018,Bayern Munich,Bundesliga,Niklas Dorsch,GER,MF,19,1998,1,30,37,81.1,495,91,15,18,83.3,13,16,81.3,2,3,66.7,0,0,0,1,1,1,0,2,https://fbref.com/en/players/7f73bdf4/Niklas-Dorsch
2018,Bayern Munich,Bundesliga,Franck Evina,CMR,FW,17,2000,1.2,24,30,80,321,77,13,14,92.9,8,11,72.7,2,4,50,0,0.1,-0.1,1,0,2,1,3,https://fbref.com/en/players/44e471ca/Franck-Evina
2018,Bayern Munich,Bundesliga,Marco Friedl,AUT,DF,19,1998,0.5,45,52,86.5,788,320,21,21,100,19,23,82.6,4,5,80,0,0.1,-0.1,2,4,4,2,4,https://fbref.com/en/players/f86ad3f5/Marco-Friedl
2018,Bayern Munich,Bundesliga,Mats Hummels,GER,DF,28,1988,24.6,1746,1979,88.2,38569,14807,438,481,91.1,984,1051,93.6,315,424,74.3,1,0.6,0.4,6,158,11,1,164,https://fbref.com/en/players/05d548d8/Mats-Hummels
2018,Bayern Munich,Bundesliga,Joshua Kimmich,GER,DF,22,1995,25.9,1794,2143,83.7,35095,10845,731,794,92.1,766,890,86.1,281,417,67.4,10,5.8,4.2,55,116,54,20,156,https://fbref.com/en/players/49296448/Joshua-Kimmich
2018,Bayern Munich,Bundesliga,Robert Lewandowski,POL,FW,28,1988,24.1,480,613,78.3,7081,1146,278,339,82,161,201,80.1,23,33,69.7,2,2.9,-0.9,23,28,18,0,39,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
2018,Bayern Munich,Bundesliga,Lars Lukas Mai,GER,DF,17,2000,2,101,114,88.6,1963,483,34,35,97.1,55,62,88.7,11,15,73.3,0,0,0,0,1,0,0,2,https://fbref.com/en/players/95173427/Lars-Lukas-Mai
2018,Bayern Munich,Bundesliga,Javi Martínez,ESP,"MF,DF",28,1988,17.9,1052,1180,89.2,19736,4419,424,455,93.2,488,533,91.6,131,172,76.2,2,1.8,0.2,12,89,6,2,73,https://fbref.com/en/players/7f97771d/Javi-Martinez
2018,Bayern Munich,Bundesliga,Thomas Müller,GER,"FW,MF",27,1989,22.3,736,1004,73.3,11980,2849,401,502,79.9,261,354,73.7,59,106,55.7,14,8.9,5.1,52,41,44,24,68,https://fbref.com/en/players/3c6089ab/Thomas-Muller
2018,Bayern Munich,Bundesliga,Manuel Neuer,GER,GK,31,1986,3,69,81,85.2,2162,1065,10,10,100,26,26,100,33,45,73.3,0,0,0,0,1,0,0,0,https://fbref.com/en/players/8778c910/Manuel-Neuer
2018,Bayern Munich,Bundesliga,Kwasi Okyere Wriedt,GHA,MF,23,1994,0.3,3,6,50,54,8,1,3,33.3,0,1,0,1,1,100,0,0,0,0,1,0,0,0,https://fbref.com/en/players/7124239e/Kwasi-Okyere-Wriedt
2018,Bayern Munich,Bundesliga,Rafinha,BRA,DF,31,1985,20.6,1572,1779,88.4,28608,8001,702,744,94.4,657,747,88,199,253,78.7,2,2.1,-0.1,21,127,22,7,120,https://fbref.com/en/players/d003e213/Rafinha
2018,Bayern Munich,Bundesliga,Franck Ribéry,FRA,"FW,MF",34,1983,13.4,690,821,84,11725,2744,355,401,88.5,250,291,85.9,72,98,73.5,1,4.6,-3.6,32,45,37,5,82,https://fbref.com/en/players/f61c7c4e/Franck-Ribery
