Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2018,Bayern Munich,Bundesliga,Sandro Wagner,GER,FW,29,1987,14,8,726,8.1,8,2,8,0,0,1,0,0.99,0.25,1.24,0.99,1.24,5.4,5.4,1.2,6.6,0.68,0.15,0.82,0.68,0.82,https://fbref.com/en/players/61b0b44d/Sandro-Wagner
2018,Dortmund,Bundesliga,Manuel Akanji,SUI,DF,22,1995,11,10,904,10,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,https://fbref.com/en/players/89ac64a6/Manuel-Akanji
2018,Dortmund,Bundesliga,Pierre-Emerick Aubameyang,GAB,FW,28,1989,16,16,1416,15.7,13,3,10,3,4,1,1,0.83,0.19,1.02,0.64,0.83,15.1,12.1,1.9,14,0.96,0.12,1.08,0.77,0.89,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
2018,Dortmund,Bundesliga,Marc Bartra,ESP,DF,26,1991,12,9,807,9,2,1,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,0.4,0.4,0.9,1.3,0.04,0.1,0.14,0.04,0.14,https://fbref.com/en/players/b742cc0d/Marc-Bartra
2018,Dortmund,Bundesliga,Michy Batshuayi,BEL,FW,23,1993,10,9,839,9.3,7,1,7,0,0,2,0,0.75,0.11,0.86,0.75,0.86,5.9,5.9,0.5,6.4,0.64,0.05,0.68,0.64,0.68,https://fbref.com/en/players/2973d8ff/Michy-Batshuayi
2018,Dortmund,Bundesliga,Jacob Bruun Larsen,DEN,DF,18,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen
2018,Dortmund,Bundesliga,Roman Bürki,SUI,GK,26,1990,33,33,2969,33,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/9d12e142/Roman-Burki
2018,Dortmund,Bundesliga,Gonzalo Castro,GER,MF,30,1987,19,16,1206,13.4,0,2,0,0,0,3,0,0,0.15,0.15,0,0.15,1.6,1.6,3.4,5,0.12,0.26,0.37,0.12,0.37,https://fbref.com/en/players/68829001/Gonzalo-Castro
2018,Dortmund,Bundesliga,Mahmoud Dahoud,GER,MF,21,1996,23,11,1146,12.7,0,4,0,0,0,4,0,0,0.31,0.31,0,0.31,1.7,1.7,3,4.6,0.13,0.23,0.37,0.13,0.37,https://fbref.com/en/players/db4ed67b/Mahmoud-Dahoud
2018,Dortmund,Bundesliga,Sergio Gómez,ESP,MF,16,2000,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1.06,1.06,0,1.06,https://fbref.com/en/players/01e5f06e/Sergio-Gomez
