Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Url
2018,Atalanta,Serie A,Pierluigi Gollini,ITA,GK,22,1995,7,7,622,6.9,4,0.58,17,13,76.5,3,2,2,3,42.9,0,0,0,0,NA,https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini
2018,Atalanta,Serie A,Francesco Rossi,ITA,GK,26,1991,1,0,8,0.1,1,11.25,2,1,50,0,0,0,0,NA,0,0,0,0,NA,https://fbref.com/en/players/7b5f516f/Francesco-Rossi
2018,Athletic Club,La Liga,Kepa Arrizabalaga,ESP,GK,22,1994,30,30,2700,30,43,1.43,135,95,68.9,7,9,14,7,23.3,3,1,2,0,66.7,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga
2018,Athletic Club,La Liga,Iago Herrerín,ESP,GK,29,1988,8,8,720,8,6,0.75,26,22,84.6,3,4,1,4,50,3,2,1,0,33.3,https://fbref.com/en/players/9109185e/Iago-Herrerin
2018,Atlético Madrid,La Liga,Jan Oblak,SVN,GK,24,1993,37,37,3330,37,22,0.59,124,104,83.1,22,10,5,22,59.5,4,1,3,0,75,https://fbref.com/en/players/ee8508c0/Jan-Oblak
2018,Atlético Madrid,La Liga,Axel Werner,ARG,GK,21,1996,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,NA,https://fbref.com/en/players/c0b1a6da/Axel-Werner
2018,Augsburg,Bundesliga,Marwin Hitz,SUI,GK,29,1987,32,32,2880,32,42,1.31,159,118,74.2,10,10,12,9,28.1,2,1,1,0,50,https://fbref.com/en/players/2e7ff968/Marwin-Hitz
2018,Augsburg,Bundesliga,Andreas Luthe,GER,GK,30,1987,2,2,180,2,4,2,6,3,50,0,1,1,0,0,1,1,0,0,0,https://fbref.com/en/players/7fe12375/Andreas-Luthe
2018,Barcelona,La Liga,Jasper Cillessen,NED,GK,28,1989,1,1,90,1,1,1,7,6,85.7,1,0,0,0,0,0,0,0,0,NA,https://fbref.com/en/players/04ac8285/Jasper-Cillessen
2018,Barcelona,La Liga,Marc-André ter Stegen,GER,GK,25,1992,37,37,3330,37,28,0.76,128,102,79.7,27,9,1,19,51.4,2,2,0,0,0,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen
2018,Bayern Munich,Bundesliga,Manuel Neuer,GER,GK,31,1986,3,3,270,3,2,0.67,8,6,75,2,0,1,2,66.7,0,0,0,0,NA,https://fbref.com/en/players/8778c910/Manuel-Neuer
2018,Bayern Munich,Bundesliga,Tom Starke,GER,GK,36,1981,2,2,180,2,0,0,6,6,100,2,0,0,2,100,0,0,0,0,NA,https://fbref.com/en/players/5b52d1f7/Tom-Starke
2018,Bayern Munich,Bundesliga,Sven Ulreich,GER,GK,28,1988,29,29,2610,29,26,0.9,79,57,68.4,23,3,3,12,41.4,5,1,4,0,80,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
2018,Benevento,Serie A,Vid Belec,SVN,GK,27,1990,13,13,1113,12.4,32,2.59,73,51,60.3,2,0,10,1,7.7,3,3,0,0,0,https://fbref.com/en/players/4f8ce0e1/Vid-Belec
2018,Benevento,Serie A,Alberto Brignoli,ITA,GK,25,1991,13,11,1126,12.5,31,2.48,71,42,59.2,1,2,10,2,18.2,4,2,0,2,0,https://fbref.com/en/players/6989550f/Alberto-Brignoli
2018,Benevento,Serie A,Christian Puggioni,ITA,GK,36,1981,14,14,1179,13.1,26,1.98,59,37,64.4,3,1,9,2,14.3,6,5,0,1,0,https://fbref.com/en/players/b39dfab0/Christian-Puggioni
2018,Betis,La Liga,Antonio Adán,ESP,GK,30,1987,30,30,2700,30,53,1.77,126,79,60.3,14,4,12,9,30,4,3,1,0,25,https://fbref.com/en/players/65d62814/Antonio-Adan
