Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ_percent_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec_percent_Receiving,Prog_Receiving,Url
2018,Hannover 96,Bundesliga,Martin Harnik,AUT,"FW,MF",30,1987,21,821,23,113,417,330,77,803,19,31,61.3,21,1,497,2089,944,51,13,8,62,19,936,589,62.9,199,https://fbref.com/en/players/99b7584f/Martin-Harnik
2018,Hannover 96,Bundesliga,Timo Hübers,GER,DF,21,1996,5,252,38,144,105,13,5,243,1,2,50,1,0,118,534,251,8,3,0,1,0,114,112,98.2,6,https://fbref.com/en/players/94302c52/Timo-Hubers
2018,Hannover 96,Bundesliga,Florian Hübner,GER,DF,26,1991,3.6,203,26,140,78,2,0,196,1,1,100,1,0,136,601,349,3,0,0,3,0,128,126,98.4,0,https://fbref.com/en/players/e87ad81a/Florian-Hubner
2018,Hannover 96,Bundesliga,Jonathas,BRA,FW,28,1989,7,261,13,31,128,110,24,241,5,10,50,5,0,148,529,291,19,3,2,15,20,354,190,53.7,70,https://fbref.com/en/players/531807b3/Jonathas
2018,Hannover 96,Bundesliga,Kenan Karaman,TUR,"MF,FW",23,1994,9.5,427,14,75,200,173,28,426,13,24,54.2,16,0,315,1368,714,33,4,4,30,29,384,298,77.6,80,https://fbref.com/en/players/8f0f2230/Kenan-Karaman
2018,Hannover 96,Bundesliga,Felix Klaus,GER,"MF,FW",24,1992,22,1001,26,169,449,462,70,931,22,48,45.8,27,1,640,3414,1916,94,39,17,43,44,925,619,66.9,139,https://fbref.com/en/players/aeda1f69/Felix-Klaus
2018,Hannover 96,Bundesliga,Julian Korb,GER,DF,25,1992,26,1424,84,476,615,402,26,1126,10,17,58.8,11,0,722,3291,1775,77,31,6,16,10,815,684,83.9,66,https://fbref.com/en/players/3dffff26/Julian-Korb
2018,Hannover 96,Bundesliga,Sebastian Maier,GER,MF,23,1993,2.9,179,2,33,94,60,3,161,2,6,33.3,3,0,97,540,332,14,4,1,4,4,107,88,82.2,12,https://fbref.com/en/players/e8385ec4/Sebastian-Maier
2018,Hannover 96,Bundesliga,Linton Maina,GER,MF,18,1999,0.1,24,0,1,12,17,5,24,3,3,100,3,1,22,221,180,8,6,1,2,1,25,21,84,7,https://fbref.com/en/players/e5d85da8/Linton-Maina
2018,Hannover 96,Bundesliga,Matthias Ostrzolek,GER,DF,27,1990,26.4,1522,80,547,683,385,18,1240,7,14,50,9,0,812,4252,2560,107,40,7,33,23,899,788,87.7,47,https://fbref.com/en/players/1cd87320/Matthias-Ostrzolek
2018,Hannover 96,Bundesliga,Salif Sané,SEN,DF,26,1990,32,2262,310,1292,1029,108,40,2135,23,25,92,23,0,1271,8831,4929,96,17,1,12,14,1174,1159,98.7,37,https://fbref.com/en/players/791abba1/Salif-Sane
2018,Hannover 96,Bundesliga,Manuel Schmiedebach,GER,MF,28,1988,1.8,97,5,31,58,17,1,97,0,1,0,1,0,63,337,162,6,5,0,2,0,68,54,79.4,5,https://fbref.com/en/players/d8f5dc3d/Manuel-Schmiedebach
2018,Hannover 96,Bundesliga,Pirmin Schwegler,SUI,MF,30,1987,25.8,1620,57,399,935,353,18,1424,13,21,61.9,15,1,825,3014,1584,60,22,3,11,18,880,813,92.4,38,https://fbref.com/en/players/5528407e/Pirmin-Schwegler
2018,Hannover 96,Bundesliga,Oliver Sorg,GER,DF,27,1990,18.7,964,84,408,495,117,5,879,9,14,64.3,11,0,501,2920,1643,60,6,0,3,10,506,469,92.7,14,https://fbref.com/en/players/541cdd20/Oliver-Sorg
2018,Hannover 96,Bundesliga,Philipp Tschauner,GER,GK,31,1985,31,1210,1017,1203,12,3,3,851,1,2,50,1,0,600,3016,1493,0,0,0,0,0,513,512,99.8,2,https://fbref.com/en/players/73e2f6eb/Philipp-Tschauner
2018,Hertha BSC,Bundesliga,Per Ciljan Skjelbred,NOR,MF,30,1987,24.3,1350,34,329,908,183,2,1315,13,17,76.5,15,0,847,4216,1581,60,15,0,17,10,838,792,94.5,20,https://fbref.com/en/players/ecab64a0/Per-Ciljan-Skjelbred
2018,Hertha BSC,Bundesliga,Palkó Dárdai,HUN,FW,18,1999,0.3,12,0,3,6,3,0,12,0,1,0,1,0,7,70,42,3,0,0,0,0,12,8,66.7,0,https://fbref.com/en/players/db7161ed/Palko-Dardai
2018,Hertha BSC,Bundesliga,Vladimír Darida,CZE,MF,26,1990,18.2,1185,31,233,722,306,25,1160,17,24,70.8,18,0,850,4145,1849,87,27,5,25,24,933,803,86.1,103,https://fbref.com/en/players/3eb0f2df/Vladimir-Darida
2018,Hertha BSC,Bundesliga,Ondrej Duda,SVK,MF,22,1994,8.3,426,9,55,278,110,7,420,15,19,78.9,17,0,289,1122,424,24,5,3,23,14,363,282,77.7,39,https://fbref.com/en/players/79ca3e23/Ondrej-Duda
2018,Hertha BSC,Bundesliga,Alexander Esswein,GER,"FW,MF",27,1990,6.9,307,10,49,149,128,15,304,1,4,25,1,0,198,1131,601,29,7,4,15,5,305,211,69.2,39,https://fbref.com/en/players/b48215cd/Alexander-Esswein
2018,Hertha BSC,Bundesliga,Genki Haraguchi,JPN,"MF,FW",26,1991,2.3,82,3,16,47,25,5,81,6,6,100,6,0,62,295,205,11,5,2,5,3,72,53,73.6,11,https://fbref.com/en/players/f24ea523/Genki-Haraguchi
2018,Hertha BSC,Bundesliga,Vedad Ibišević,BIH,FW,32,1984,16.1,556,25,49,301,232,60,526,12,27,44.4,13,2,350,1128,448,24,10,4,58,21,722,406,56.2,178,https://fbref.com/en/players/c3fd9887/Vedad-Ibisevic
2018,Hertha BSC,Bundesliga,Rune Jarstein,NOR,GK,32,1984,31,1187,1034,1184,4,1,1,863,0,0,NA,0,0,646,3764,2259,0,0,0,1,0,531,526,99.1,1,https://fbref.com/en/players/27d2618c/Rune-Jarstein
2018,Hertha BSC,Bundesliga,Salomon Kalou,CIV,"FW,MF",31,1985,24.5,939,28,144,476,401,91,925,42,71,59.2,46,1,680,3740,2374,121,45,17,59,42,964,655,67.9,161,https://fbref.com/en/players/2042d931/Salomon-Kalou
2018,Hertha BSC,Bundesliga,Thomas Kraft,GER,GK,29,1988,3,147,127,146,1,0,0,108,0,0,NA,0,0,77,475,225,0,0,0,0,0,78,78,100,0,https://fbref.com/en/players/bb25c778/Thomas-Kraft
2018,Hertha BSC,Bundesliga,Sebastian Langkamp,GER,DF,29,1988,10.6,659,62,323,361,16,8,638,1,1,100,1,0,412,2107,973,17,2,0,5,1,408,402,98.5,6,https://fbref.com/en/players/74d70fb5/Sebastian-Langkamp
