Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,Drib_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,Drib_GCA,Sh_GCA,Fld_GCA,Def_GCA,Url
2018,Eint Frankfurt,Bundesliga,Danny Blum,GER,"FW,DF",26,1991,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/eb61713c/Danny-Blum
2018,Eint Frankfurt,Bundesliga,Kevin-Prince Boateng,GHA,"MF,FW",30,1987,26.2,53,2.02,41,0,2,3,6,1,7,0.27,5,0,0,0,1,1,https://fbref.com/en/players/f4ec4fd0/Kevin-Prince-Boateng
2018,Eint Frankfurt,Bundesliga,Marijan Ćavar,BIH,"FW,MF",19,1998,0.4,1,2.81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/33ec696b/Marijan-Cavar
2018,Eint Frankfurt,Bundesliga,Timothy Chandler,USA,"DF,MF",27,1990,21,43,2.05,35,2,0,4,2,0,5,0.24,4,0,0,0,1,0,https://fbref.com/en/players/b3b7f5a6/Timothy-Chandler
2018,Eint Frankfurt,Bundesliga,Danny da Costa,GER,DF,24,1993,13.4,19,1.42,16,2,0,0,0,1,4,0.3,3,1,0,0,0,0,https://fbref.com/en/players/5ddb8f9f/Danny-da-Costa
2018,Eint Frankfurt,Bundesliga,Marco Fabián,MEX,"FW,MF",28,1989,4.7,10,2.13,8,1,1,0,0,0,2,0.43,2,0,0,0,0,0,https://fbref.com/en/players/e665a2db/Marco-Fabian
2018,Eint Frankfurt,Bundesliga,Simon Falette,GUI,DF,25,1992,24.6,17,0.69,13,0,1,1,2,0,2,0.08,2,0,0,0,0,0,https://fbref.com/en/players/b82880c6/Simon-Falette
2018,Eint Frankfurt,Bundesliga,Gelson Fernandes,SUI,MF,30,1986,11.5,7,0.61,6,0,0,0,0,1,1,0.09,1,0,0,0,0,0,https://fbref.com/en/players/8e58987d/Gelson-Fernandes
2018,Eint Frankfurt,Bundesliga,Mijat Gaćinović,SRB,MF,22,1995,20.2,46,2.28,28,4,5,1,4,4,7,0.35,5,0,1,0,1,0,https://fbref.com/en/players/16daec92/Mijat-Gacinovic
2018,Eint Frankfurt,Bundesliga,Jonathan de Guzmán,NED,MF,29,1987,12.1,38,3.13,20,17,0,0,0,1,5,0.41,2,3,0,0,0,0,https://fbref.com/en/players/1bcca8b8/Jonathan-de-Guzman
2018,Eint Frankfurt,Bundesliga,Sébastien Haller,CIV,FW,23,1994,26.1,52,1.99,42,1,2,1,5,1,4,0.15,4,0,0,0,0,0,https://fbref.com/en/players/ba115a40/Sebastien-Haller
2018,Eint Frankfurt,Bundesliga,Makoto Hasebe,JPN,"DF,MF",33,1984,23.2,11,0.47,11,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/9ab16552/Makoto-Hasebe
2018,Eint Frankfurt,Bundesliga,Lukáš Hrádecký,FIN,GK,27,1989,34,5,0.15,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky
2018,Eint Frankfurt,Bundesliga,Branimir Hrgota,SWE,"FW,MF",24,1993,2.2,5,2.28,4,0,0,0,0,1,0,0,0,0,0,0,0,0,https://fbref.com/en/players/710fbdd1/Branimir-Hrgota
2018,Eint Frankfurt,Bundesliga,Luka Jović,SRB,FW,19,1997,10.4,20,1.92,14,0,1,3,2,0,5,0.48,4,0,0,1,0,0,https://fbref.com/en/players/4d8cd038/Luka-Jovic
2018,Eint Frankfurt,Bundesliga,Daichi Kamada,JPN,"FW,MF",20,1996,1.6,2,1.25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/15b287da/Daichi-Kamada
2018,Eint Frankfurt,Bundesliga,Omar Mascarell,ESP,MF,24,1993,8.6,17,1.98,17,0,0,0,0,0,1,0.12,1,0,0,0,0,0,https://fbref.com/en/players/11fd2b75/Omar-Mascarell
2018,Eint Frankfurt,Bundesliga,Slobodan Medojević,SRB,MF,26,1990,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/2e64bb49/Slobodan-Medojevic
2018,Eint Frankfurt,Bundesliga,Alexander Meier,GER,FW,34,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/362aa29d/Alexander-Meier
2018,Eint Frankfurt,Bundesliga,Ante Rebić,CRO,"FW,MF",23,1993,19.5,52,2.67,33,0,5,5,8,1,6,0.31,4,0,0,1,1,0,https://fbref.com/en/players/536cebe5/Ante-Rebic
2018,Eint Frankfurt,Bundesliga,Marco Russ,GER,DF,31,1985,12.7,10,0.79,9,0,0,1,0,0,1,0.08,1,0,0,0,0,0,https://fbref.com/en/players/e26c4233/Marco-Russ
2018,Eint Frankfurt,Bundesliga,Carlos Salcedo,MEX,DF,23,1993,17.9,7,0.39,6,1,0,0,0,0,1,0.06,1,0,0,0,0,0,https://fbref.com/en/players/64c07ae1/Carlos-Salcedo
2018,Eint Frankfurt,Bundesliga,Marc Stendera,GER,MF,21,1995,4.1,4,0.97,3,1,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/500cd987/Marc-Stendera
2018,Eint Frankfurt,Bundesliga,Taleb Tawatha,ISR,"DF,MF",25,1992,4.9,8,1.63,6,2,0,0,0,0,1,0.2,1,0,0,0,0,0,https://fbref.com/en/players/bbb496b5/Taleb-Tawatha
2018,Eint Frankfurt,Bundesliga,Jetro Willems,NED,"DF,MF",23,1994,18.5,70,3.78,32,27,5,5,1,0,6,0.32,2,3,0,1,0,0,https://fbref.com/en/players/9050ddc4/Jetro-Willems
2018,Eint Frankfurt,Bundesliga,Marius Wolf,GER,"MF,DF",22,1995,26.3,59,2.25,45,10,1,1,0,2,12,0.46,11,1,0,0,0,0,https://fbref.com/en/players/fa661778/Marius-Wolf
2018,Freiburg,Bundesliga,Amir Abrashi,ALB,MF,27,1990,9.4,12,1.27,10,0,0,0,2,0,1,0.11,1,0,0,0,0,0,https://fbref.com/en/players/1c08a3c8/Amir-Abrashi
2018,Freiburg,Bundesliga,Onur Bulut,TUR,MF,23,1994,0.4,1,2.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/32e96d52/Onur-Bulut
2018,Freiburg,Bundesliga,Mohamed Dräger,TUN,"MF,FW",21,1996,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/8954fddc/Mohamed-Drager
2018,Freiburg,Bundesliga,Mike Frantz,GER,MF,30,1986,11.6,21,1.82,15,1,0,3,2,0,1,0.09,1,0,0,0,0,0,https://fbref.com/en/players/482b70ad/Mike-Frantz
2018,Freiburg,Bundesliga,Rafał Gikiewicz,POL,GK,29,1987,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/17376543/Rafal-Gikiewicz
2018,Freiburg,Bundesliga,Karim Guédé,SVK,FW,32,1985,0.7,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/79fa1799/Karim-Guede
2018,Freiburg,Bundesliga,Manuel Gulde,GER,DF,26,1991,17,1,0.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/25ab9c9c/Manuel-Gulde
2018,Freiburg,Bundesliga,Christian Günter,GER,"DF,MF",24,1993,34,86,2.53,48,27,6,1,4,0,9,0.26,4,3,1,0,1,0,https://fbref.com/en/players/8593f88c/Christian-Gunter
2018,Freiburg,Bundesliga,Janik Haberer,GER,"MF,FW",23,1994,30.5,74,2.42,59,1,1,4,8,1,5,0.16,4,0,0,0,1,0,https://fbref.com/en/players/70dcf94d/Janik-Haberer
2018,Freiburg,Bundesliga,Nicolas Höfler,GER,MF,27,1990,25.1,39,1.55,29,4,0,0,6,0,5,0.2,3,1,0,0,1,0,https://fbref.com/en/players/5d8e331f/Nicolas-Hofler
2018,Freiburg,Bundesliga,Lucas Höler,GER,"MF,FW",23,1994,10.1,12,1.19,7,0,0,1,4,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/ca618d23/Lucas-Holer
